,ppid,heading,cameraoffset,width,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWV,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible,setpoint
69,k,-1.5,-1.5,0.15,0,5.739566982919398,-5,0.0,2.3988263607025146,0.0,0.0,0.0,0.0,0.0,0.1318924046011034,0.016486550575137926,False,0
70,k,-1.5,-1.5,0.15,0,5.75622091797258,-5,0.0,2.5320940017700195,0.0,0.0,0.0,0.0,0.0,0.13326758295993102,0.016658447869991377,False,0
71,k,-1.5,-1.5,0.15,0,5.7729277760592606,-5,0.0,2.665515899658203,0.0,0.0,0.0,0.0,0.0,0.13342183924362416,0.01667772990545302,False,0
72,k,-1.5,-1.5,0.15,0,5.789462736851088,-5,0.0,2.7977659702301025,0.0,0.0,0.0,0.0,0.0,0.1322501478973095,0.016531268487163686,False,0
73,k,-1.5,-1.5,0.15,0,5.806110107807091,-5,0.0,2.930593729019165,0.0,0.0,0.0,0.0,0.0,0.13282778844899923,0.016603473556124904,False,0
74,k,-1.5,-1.5,0.15,0,5.822736145447265,-5,0.0,3.064058303833008,0.0,0.0,0.0,0.0,0.0,0.13346450587527414,0.016683063234409268,False,0
75,k,-1.5,-1.5,0.15,0,5.839575926501804,-5,0.0,3.198861837387085,0.0,0.0,0.0,0.0,0.0,0.1348035816996287,0.016850447712453587,False,0
76,k,-1.5,-1.5,0.15,0,5.855728528633002,-5,0.0,3.329319953918457,0.0,0.0,0.0,0.0,0.0,0.1304581493676693,0.016307268670958663,False,0
77,k,-1.5,-1.5,0.15,0,5.8724714892541625,-5,0.0,3.4627318382263184,0.0,0.0,0.0,0.0,0.0,0.13341199309785168,0.01667649913723146,False,0
78,k,-1.5,-1.5,0.15,0,5.889354347196433,-5,0.0,3.597620725631714,0.0,0.0,0.0,0.0,0.0,0.13488891496294286,0.016861114370367858,False,0
79,k,-1.5,-1.5,0.15,0,5.906021000187897,-5,0.0,3.7313084602355957,0.0,0.0,0.0,0.0,0.0,0.13368768517933205,0.016710960647416506,False,0
80,k,-1.5,-1.5,0.15,0,5.922832883829429,-5,0.0,3.8651537895202637,0.0,0.0,0.0,0.0,0.0,0.13384522351161365,0.016730652938951707,False,0
81,k,-1.5,-1.5,0.15,0,5.9395963572542705,-5,0.0,3.999028444290161,0.0,0.0,0.0,0.0,0.0,0.1338747619489098,0.016734345243613724,False,0
82,k,-1.5,-1.5,0.15,0,5.956251523075673,-5,0.0,4.132053375244141,0.0,0.0,0.0,0.0,0.0,0.13302471136434235,0.016628088920542794,False,0
83,k,-1.5,-1.5,0.15,0,5.973033868279903,-5,0.0,4.265133857727051,0.0,0.0,0.0,0.0,0.0,0.13308050619035328,0.01663506327379416,False,0
84,k,-1.5,-1.5,0.15,0,5.98942441893381,-5,0.0,4.397653102874756,0.0,0.0,0.0,0.0,0.0,0.13251927588162005,0.016564909485202506,False,0
85,k,-1.5,-1.5,0.15,0,6.006741327801987,-5,0.0,4.535636901855469,0.0,0.0,0.0,0.0,0.0,0.13798388678245033,0.01724798584780629,False,0
86,k,-1.5,-1.5,0.15,0,6.023005109329141,-5,0.0,4.665822505950928,0.0,0.0,0.0,0.0,0.0,0.1301857393347774,0.016273217416847174,False,0
87,k,-1.5,-1.5,0.15,0,6.039605300836676,-5,0.0,4.7988176345825195,0.0,0.0,0.0,0.0,0.0,0.1329951729270391,0.01662439661587989,False,0
88,k,-1.5,-1.5,0.15,0,6.056282210229981,-5,0.0,4.932193756103516,0.0,0.0,0.0,0.0,0.0,0.1333758905633715,0.01667198632042144,False,0
89,k,-1.5,-1.5,0.15,0,6.0729435298924885,-5,0.0,5.065513610839844,0.0,0.0,0.0,0.0,0.0,0.1333200957373606,0.016665011967170074,False,0
90,k,-1.5,-1.5,0.15,0,6.089596644433523,-5,0.0,5.198705673217773,0.0,0.0,0.0,0.0,0.0,0.13319209584238223,0.01664901198029778,False,0
91,k,-1.5,-1.5,0.15,0,6.106198887221426,-5,0.0,5.331667900085449,0.0,0.0,0.0,0.0,0.0,0.1329623524411474,0.016620294055143425,False,0
92,k,-1.5,-1.5,0.15,0,6.122958668341606,-5,0.0,5.463734149932861,0.0,0.0,0.0,0.0,0.0,0.1320663531763273,0.016508294147040914,False,0
93,k,-1.5,-1.5,0.15,0,6.139338142081525,-5,0.0,5.596703052520752,0.0,0.0,0.0,0.0,0.0,0.13296891653832432,0.01662111456729054,False,0
94,k,-1.5,-1.5,0.15,0,6.1565385382247895,-5,0.0,5.7298359870910645,0.0,0.0,0.0,0.0,0.0,0.13313301896777574,0.016641627370971968,False,0
95,k,-1.5,-1.5,0.15,0,6.172813806922004,-5,0.0,5.863031387329102,0.0,0.0,0.0,0.0,0.0,0.1331953778909707,0.016649422236371336,False,0
96,k,-1.5,-1.5,0.15,0,6.189447639427578,-5,0.0,5.996279239654541,0.0,0.0,0.0,0.0,0.0,0.13324789066840026,0.016655986333550032,False,0
97,k,-1.5,-1.5,0.15,0,6.2059953181576875,-5,0.0,6.129533767700195,0.0,0.0,0.0,0.0,0.0,0.13325445476557718,0.016656806845697147,False,0
98,k,-1.5,-1.5,0.15,0,6.222581560958719,-5,0.0,6.262102127075195,0.0,0.0,0.0,0.0,0.0,0.13256850661045405,0.016571063326306756,False,0
99,k,-1.5,-1.5,0.15,0,6.239087393569318,-5,0.0,6.39528751373291,0.0,0.0,0.0,0.0,0.0,0.1331855317452053,0.016648191468150664,False,0
100,k,-1.5,-1.5,0.15,0,6.255834046495141,-5,0.0,6.5300679206848145,0.0,0.0,0.0,0.0,0.0,0.13478060735950237,0.016847575919937796,False,0
101,k,-1.5,-1.5,0.15,0,6.272508494352005,-5,0.0,6.663430690765381,0.0,0.0,0.0,0.0,0.0,0.13336276236901057,0.01667034529612632,False,0
102,k,-1.5,-1.5,0.15,0,6.289293301092676,-5,0.0,6.797397136688232,0.0,0.0,0.0,0.0,0.0,0.133966659309408,0.016745832413676,False,0
103,k,-1.5,-1.5,0.15,0,6.306069082199727,-5,0.0,6.931005954742432,0.0,0.0,0.0,0.0,0.0,0.1336089160132019,0.016701114501650238,False,0
104,k,-1.5,-1.5,0.15,0,6.32278291463966,-5,0.0,7.0644965171813965,0.0,0.0,0.0,0.0,0.0,0.13349076226398893,0.016686345282998616,False,0
105,k,-1.5,-1.5,0.15,0,6.3395402342233975,-5,0.0,7.1982269287109375,0.0,0.0,0.0,0.0,0.0,0.13373035181098913,0.016716293976373642,False,0
106,k,-1.5,-1.5,0.15,0,6.356195810300873,-5,0.0,7.331543922424316,0.0,0.0,0.0,0.0,0.0,0.13331681368877213,0.016664601711096516,False,0
107,k,-1.5,-1.5,0.15,0,6.372961745262158,-5,0.0,7.465195655822754,0.0,0.0,0.0,0.0,0.0,0.13365158264485189,0.016706447830606486,False,0
108,k,-1.5,-1.5,0.15,0,6.389520500906255,-5,0.0,7.598141670227051,0.0,0.0,0.0,0.0,0.0,0.1329459421982051,0.016618242774775638,False,0
109,k,-1.5,-1.5,0.15,0,6.4062232564322,-5,0.0,7.731392860412598,0.0,0.0,0.0,0.0,0.0,0.13325117271698872,0.01665639658962359,False,0
110,k,-1.5,-1.5,0.15,0,6.422930114518881,-5,0.0,7.865060806274414,0.0,0.0,0.0,0.0,0.0,0.13366799288779418,0.016708499110974273,False,0
111,k,-1.5,-1.5,0.15,0,6.439475331712548,-5,0.0,7.997786998748779,0.0,0.0,0.0,0.0,0.0,0.13272604494273565,0.016590755617841957,False,0
112,k,-1.5,-1.5,0.15,0,6.456169061604872,-5,0.0,8.12977123260498,0.0,0.0,0.0,0.0,0.0,0.1319843019616016,0.0164980377452002,False,0
113,k,-1.5,-1.5,0.15,0,6.472535817406508,-5,0.0,8.263068199157715,0.0,0.0,0.0,0.0,0.0,0.13329712139722716,0.016662140174653395,False,0
114,k,-1.5,-1.5,0.15,0,6.48958688033897,-5,0.0,8.398202896118164,0.0,0.0,0.0,0.0,0.0,0.1351350686071271,0.016891883575890887,False,0
115,k,-1.5,-1.5,0.15,0,6.506165328274602,-5,0.0,8.53127670288086,0.0,0.0,0.0,0.0,0.0,0.13307394209317636,0.016634242761647045,False,0
116,k,-1.5,-1.5,0.15,0,6.522825006912814,-5,0.0,8.664511680603027,0.0,0.0,0.0,0.0,0.0,0.13323476247403931,0.016654345309254914,False,0
117,k,-1.5,-1.5,0.15,0,6.53947483940526,-5,0.0,8.797795295715332,0.0,0.0,0.0,0.0,0.0,0.13328399320288042,0.016660499150360053,False,0
118,k,-1.5,-1.5,0.15,0,6.5561496975181965,-5,0.0,8.93111515045166,0.0,0.0,0.0,0.0,0.0,0.13332009573735348,0.016665011967169185,False,0
119,k,-1.5,-1.5,0.15,0,6.572808145388188,-5,0.0,9.06441879272461,0.0,0.0,0.0,0.0,0.0,0.13330368549441118,0.016662960686801398,False,0
120,k,-1.5,-1.5,0.15,0,6.58922741396725,-5,0.0,9.196274757385254,0.0,0.0,0.0,0.0,0.0,0.13185630206662324,0.016482037758327905,False,0
121,k,-1.5,-1.5,0.15,0,6.606118887287066,-5,0.0,9.330926895141602,0.0,0.0,0.0,0.0,0.0,0.13465260746453112,0.01683157593306639,False,0
122,k,-1.5,-1.5,0.15,0,6.622886463272645,-5,0.0,9.46466064453125,0.0,0.0,0.0,0.0,0.0,0.1337336338595847,0.016716704232448087,False,0
123,k,-1.5,-1.5,0.15,0,6.639455885574658,-5,0.0,9.596609115600586,0.0,0.0,0.0,0.0,0.0,0.13194819942711433,0.01649352492838929,False,0
124,k,-1.5,-1.5,0.15,0,6.6561976154275975,-5,0.0,9.731274604797363,0.0,0.0,0.0,0.0,0.0,0.13466573565888496,0.01683321695736062,False,0
125,k,-1.5,-1.5,0.15,0,6.672752268510959,-5,0.0,9.863580703735352,0.0,0.0,0.0,0.0,0.0,0.13230594272332752,0.01653824284041594,False,0
126,k,-1.5,-1.5,0.15,0,6.689475536840585,-5,0.0,9.996323585510254,0.0,0.0,0.0,0.0,0.0,0.13274245518567795,0.016592806898209744,False,0
127,k,-1.5,-1.5,0.15,0,6.706046189910818,-5,0.0,10.130021095275879,0.0,0.0,0.0,0.0,0.0,0.13369753132510453,0.016712191415638067,False,0
128,k,-1.5,-1.5,0.15,0,6.722835509468299,-5,0.0,10.263046264648438,0.0,0.0,0.0,0.0,0.0,0.13302471136433525,0.016628088920541906,False,0
129,k,-1.5,-1.5,0.15,0,6.749272000597332,-5,0.0,10.477128028869629,0.0,0.0,0.0,0.0,0.0,0.21408146536905548,0.026760183171131935,False,0
130,k,-1.5,-1.5,0.15,0,6.759444710199212,-5,0.0,10.555585861206055,0.0,0.0,0.0,0.0,0.0,0.07845737152215548,0.009807171440269435,True,0.0
131,k,-1.5,-1.5,0.15,0,6.772650032697409,-5,0.0,10.662954330444336,0.0,0.0,0.0,0.0,0.0,0.10736893754344123,0.013421117192930154,True,0.0
132,k,-1.5,-1.5,0.15,0,6.789628480304836,-5,0.0,10.795903205871582,0.0,0.0,0.0,0.0,0.0,0.13294922424678646,0.016618653030848307,True,0.0
133,k,-1.5,-1.5,0.15,0,6.806112159087459,-5,0.0,10.929427146911621,0.0,0.0,0.0,0.0,0.0,0.13352358274988063,0.01669044784373508,True,0.0
134,k,-1.5,-1.5,0.15,0,6.8227291710940134,-5,0.0,11.062478065490723,0.0,0.0,0.0,0.0,0.0,0.13305096775305003,0.016631370969131254,True,0.0
135,k,-1.5,-1.5,0.15,0,6.839401977926582,-5,0.0,11.195781707763672,0.0,0.0,0.0,0.0,0.0,0.1333036854944183,0.016662960686802286,True,0.0
136,k,-1.5,-1.5,0.15,0,6.856084630904918,-5,0.0,11.328777313232422,0.0,0.0,0.0,0.0,0.0,0.132995172927032,0.016624396615879,True,0.0
137,k,-1.5,-1.5,0.15,0,6.872789437711231,-5,0.0,11.462172508239746,0.0,0.0,0.0,0.0,0.0,0.13339558285490938,0.016674447856863672,True,0.0
138,k,-1.5,-1.5,0.15,0,6.889377731792631,-5,0.0,11.595357894897461,0.0,0.0,0.0,0.0,0.0,0.1331855317452053,0.016648191468150664,True,0.0
139,k,-1.5,-1.5,0.15,0,6.906571563838717,-5,0.0,11.72917366027832,0.0,0.0,0.0,0.0,0.0,0.1338156850743104,0.0167269606342888,True,0.0
140,k,-1.5,-1.5,0.15,0,6.922801704367832,-5,0.0,11.861971855163574,0.0,0.0,0.0,0.0,0.0,0.13279825001168888,0.01659978125146111,True,0.0
141,k,-1.5,-1.5,0.15,0,6.93931984466064,-5,0.0,11.995361328125,0.0,0.0,0.0,0.0,0.0,0.13338901875773246,0.016673627344716557,True,0.0
142,k,-1.5,-1.5,0.15,0,6.956112036010637,-5,0.0,12.129252433776855,0.0,0.0,0.0,0.0,0.0,0.1338911721918592,0.0167363965239824,True,0.0
143,k,-1.5,-1.5,0.15,0,6.972927611956831,-5,0.0,12.262346267700195,0.0,0.0,0.0,0.0,0.0,0.13309363438470712,0.01663670429808839,True,0.0
144,k,-1.5,-1.5,0.15,0,6.989337444646199,-5,0.0,12.395784378051758,0.0,0.0,0.0,0.0,0.0,0.13343824948656646,0.016679781185820808,True,0.0
145,k,-1.5,-1.5,0.15,0,7.005979482273245,-5,0.0,12.529379844665527,0.0,0.0,0.0,0.0,0.0,0.13359578781884096,0.01669947347735512,True,0.0
146,k,-1.5,-1.5,0.15,0,7.0227614172214015,-5,0.0,12.66251277923584,0.0,0.0,0.0,0.0,0.0,0.13313301896777574,0.016641627370971968,True,0.0
147,k,-1.5,-1.5,0.15,0,7.039375967691513,-5,0.0,12.794903755187988,0.0,0.0,0.0,0.0,0.0,0.1323912759866488,0.0165489094983311,True,0.0
148,k,-1.5,-1.5,0.15,0,7.056043851451199,-5,0.0,12.92856216430664,0.0,0.0,0.0,0.0,0.0,0.1336581467420288,0.0167072683427536,True,0.0
149,k,-1.5,-1.5,0.15,0,7.072531222538484,-5,0.0,13.061849594116211,0.0,0.0,0.0,0.0,0.0,0.13328727525146888,0.01666090940643361,True,0.0
150,k,-1.5,-1.5,0.15,0,7.089472336843211,-5,0.0,13.19536304473877,0.0,0.0,0.0,0.0,0.0,0.13351373660411525,0.016689217075514406,True,0.0
151,k,-1.5,-1.5,0.15,0,7.105862887497118,-5,0.0,13.327960968017578,0.0,0.0,0.0,0.0,0.0,0.1325980450477573,0.016574755630969662,True,0.0
152,k,-1.5,-1.5,0.15,0,7.122586976338891,-5,0.0,13.461891174316406,0.0,0.0,0.0,0.0,0.0,0.13393055677492782,0.016741319596865978,True,0.0
153,k,-1.5,-1.5,0.15,0,7.139167065298818,-5,0.0,13.595142364501953,0.0,0.0,0.0,0.0,0.0,0.13325117271698872,0.01665639658962359,True,0.0
154,k,-1.5,-1.5,0.15,0,7.1561077693474715,-5,0.0,13.728134155273438,0.0,0.0,0.0,0.0,0.0,0.13299189087844354,0.016623986359805443,True,0.0
155,k,-1.5,-1.5,0.15,0,7.17264970449255,-5,0.0,13.861759185791016,0.0,0.0,0.0,0.0,0.0,0.1336253262561442,0.016703165782018026,True,0.0
156,k,-1.5,-1.5,0.15,0,7.189419742014571,-5,0.0,13.99474811553955,0.0,0.0,0.0,0.0,0.0,0.1329886088298622,0.016623576103732773,True,0.0
157,k,-1.5,-1.5,0.15,0,7.20578567730406,-5,0.0,14.12804889678955,0.0,0.0,0.0,0.0,0.0,0.13330040344582272,0.01666255043072784,True,0.0
158,k,-1.5,-1.5,0.15,0,7.222586484031603,-5,0.0,14.261309623718262,0.0,0.0,0.0,0.0,0.0,0.1332610188627541,0.016657627357844262,True,0.0
159,k,-1.5,-1.5,0.15,0,7.239277342131412,-5,0.0,14.394622802734375,0.0,0.0,0.0,0.0,0.0,0.13331353164017656,0.01666419145502207,True,0.0
160,k,-1.5,-1.5,0.15,0,7.255741738878573,-5,0.0,14.527687072753906,0.0,0.0,0.0,0.0,0.0,0.13306409594741098,0.016633011993426372,True,0.0
161,k,-1.5,-1.5,0.15,0,7.272404289309301,-5,0.0,14.660905838012695,0.0,0.0,0.0,0.0,0.0,0.1332183522310899,0.01665229402888624,True,0.0
162,k,-1.5,-1.5,0.15,0,7.288748891282961,-5,0.0,14.79316234588623,0.0,0.0,0.0,0.0,0.0,0.13225671199449351,0.01653208899931169,True,0.0
163,k,-1.5,-1.5,0.15,0,7.305687954307319,-5,0.0,14.926440238952637,0.0,0.0,0.0,0.0,0.0,0.1332774291057035,0.016659678638212938,True,0.0
164,k,-1.5,-1.5,0.15,0,7.3221995305029495,-5,0.0,15.059638977050781,0.0,0.0,0.0,0.0,0.0,0.13319865993955915,0.016649832492444894,True,0.0
165,k,-1.5,-1.5,0.15,0,7.338633568300661,-5,0.0,15.19277572631836,0.0,0.0,0.0,0.0,0.0,0.1331363010163713,0.016642037627046413,True,0.0
166,k,-1.5,-1.5,0.15,0,7.355310477693967,-5,0.0,15.326151847839355,0.0,0.0,0.0,0.0,0.0,0.1333758905633715,0.01667198632042144,True,0.0
